Progress,Duration__in_seconds_,Q3,Q4,Q7,Q8,Q6,Q486,Q487,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q196,Q197,Q198,Q200,Q201,Q202,Q203,Q204,Q206,Q207,Q208,Q209,Q210,Q211,Q213,Q214,Q215,Q216,Q217,Q218,Q146,Q147,Q148,Q149,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q159,Q160,Q161,Q163,Q164,Q165,Q166,Q167,Q169,Q170,Q171,Q172,Q173,Q174,Q176,Q177,Q178,Q179,Q180,Q181,Q220,Q221,Q222,Q223,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q233,Q234,Q235,Q237,Q238,Q239,Q240,Q241,Q243,Q244,Q245,Q246,Q247,Q248,Q250,Q251,Q252,Q253,Q254,Q255,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q24,Q25,Q26,Q28,Q29,Q30,Q31,Q32,Q34,Q35,Q36,Q37,Q38,Q39,Q41,Q42,Q43,Q44,Q45,Q56,Q485,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q47_10,Q47_11,Q47_12,highest_experience,Q484_1,Q484_2,Q484_3,Q484_4,Q484_5,Q484_6,stigma_total,Q484_7,Q484_8,Q488,Q489,Q490,Q491,random_profile
100,900,1,1,2,1,19,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,9,9,7,9,8,7,8,7,7,7,7,7,9,8,7,9,9,7,7,9,7,9,9,7,9,2,1,18,2,1,The autistic part and the part about “conversations that always have a point to them” were characteristics where he was not feeling like the right person for me., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , ,1, , , , , ,4,3,3,3,4,2, ,2,2,"I think it mostly depends on how autistic the person is, but I think it would make it harder if the autistic person isn’t able to observe, process and react to emotions.",I think they are more loyal to the person they love.,"The same as in dating an autistic person, if he can’t observe, process and react to emotion I would find that very difficult.",Same as in dating an autistic person,2
100,428,1,1,2,1,20,3,4,10,10,8,7,7,9,8,6,9,9,6,6,6,9,9,6,8,9,7,8,8,8,8,9,7,9,1,1,18,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , ,1, , , , ,1, , ,4,4,3,4,4,3, ,2,2,I believe it would depend on their triggers as that could impact day to day actions or larger topics which could be challenging to facilitate a healthy rapport and environment together,"I believe they would be more attentive, pay greater attention to an extent and be more exuberant with life",The challenges may be mechanisms to cope especially with children,Similar that they would be humourous and kind,1
100,377,1,1,2,1,19,1,4,9,9,7,7,7,9,9,7,8,9,7,7,7,9,9,8,7,8,8,7,9,7,9,9,7,9,3,4,20,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1, ,1, , , , , ,1, ,3,3,2,3,2,2, ,2,2,Communication,Loyalty,Communication, ,1
100,400,1,1,2,4,20,2,4,7,7,8,8,7,8,8,7,8,8,7,7,7,9,9,6,8,9,7,7,10,7,9,9,7,9,3,3,20,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,1, ,1, ,1,1,1,1, , ,4,3,3,4,4,4, ,2,2,They might not know how you’re feeling without you explaining it,They might be more honest,They might not listen and understand to my concerns the way I’d want them to,"You could be straight up and honest with them, wouldn’t have to worry about them saying the opposite of what they meant",1
100,633,1,1,2,1,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,8,8,9,9,9,8,7,8,7,7,7,8,8,9,9,9,8,8,9,7,8,9,7,9,2,2,19,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, ,1, , , , , , , ,3,3,3,3,3,3, ,2,1,The person picking up body language and subtle signals,"Chatty and caring person, informative conversation",Communication issues,"More attentive and caring, loyal",2
100,457,1,1,2,4,22,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,8,8,7,8,8,8,8,8,8,8,9,7,9,9,8,8,8,8,8,8,8,8,8,8,8,2,2,18,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , , , ,1, , ,4,4,4,4,4,4, ,2,2,crowded places can be difficult/ social situations,interesting,depends on the type of autism,idk,3
100,234,1,1,2,1,20,3,4,9,9,7,7,7,9,9,7,9,9,7,7,8,8,8,7,7,9,7,7,9,7,8,8,8,8,3,2,19,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,1, , , , , , ,1, , ,4,4,4,4,4,3, ,1,1, , , , ,1
100,351,1,1,2,4,19,1,5,7,9,9,8,8,7,8,8,8,8,8,8,9,8,7,9,7,9,8,8,9,8,8,7,8,7,2,2,19,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, ,1,1, ,1, , , , , , , ,3,3,2,3,1,1, ,2,1,"Depends on their degree of autism. Having to explain emotions that I find intuitive, or having to tolerate difficult behaviors would be hard for me.","Attentiveness, genuineness.",same as listed before,not sure,1
100,435,1,1,2,1, ,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,7,7,7,9,9,7,8,8,7,7,9,7,7,7,9,9,7,8,9,7,8,8,7,9,4,4,21,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , , , , , ,3,4,3,4,4,3, ,1,1,Interactions with others outside of their comfort zone.,"Genuine, different view on life",Interactions with other people and experiences outside of their comfort zone.,"Genuine, different life view",2
100,428,1,1,2,1, ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,9,8,9,8,6,8,8,7,7,8,7,9,9,6,9,9,8,7,9,7,9,9,7,9,2,1,18,2,1, ,1,1, ,1, , , , , , , , , , ,4,4,3,3,4,2, ,2,2,Communication and emotional aspect,Trustworthy,Communication,Predictability,4
